metric,value
expenses_total,11498.473198992608
expenses_npv,8419.455155569312
initial_stock_cost,109.73700000000001
capex_total,1430.0
fuel_variable_total,9128.575
reserve_fees_total,483.45
storage_cost_total,88.7111989926086
opex_extra_total,258.0
losses_total,25.430999999999997
deficit_total,151.10100000000008
min_service_total,0.8134891304347825
min_service_critical,1.0
