year,demand_total_t,demand_critical_t,inflow_gross_t,losses_t,loss_rate,served_t,served_critical_t,deficit_t,deficit_critical_t,service_total,service_critical,stock_start_t,stock_end_t,stock_min_t,stock_max_t,storage_capacity_t,overflow_events,reserve_required_t,reserve_cover,emergency_role,capex_mln,capex_cumulative_mln,opex_extra_zbo_mln,opex_extra_isru_mln,variable_cost_mln,reserve_fees_mln,storage_cost_mln,expenses_operating_mln,expenses_total_mln,expenses_npv_mln
2035,100.0,80.0,110.0,4.949999999999999,0.045,99.99999999999999,80.0,0.0,0.0,0.9999999999999999,1.0,12.33,17.37999999999996,12.33,17.37999999999996,70,0,12.32876712328767,physical_stock,none,0.0,0.0,0.0,0.0,709.0,46.5,13.847099999999987,769.3471,769.3471,733.5436779945875
2036,140.0,105.0,153.0,6.885000000000002,0.045,140.0,105.0,0.0,0.0,1.0,1.0,17.37999999999996,23.49499999999999,17.37999999999996,23.49499999999999,70,0,17.26027397260274,physical_stock,none,805.0,805.0,0.0,0.0,983.7,64.95,19.09844999999998,1067.74845,1872.74845,1623.268714675154
2037,190.0,135.0,200.0,2.4,0.012,190.00000000000003,135.0,0.0,0.0,1.0000000000000002,1.0,23.49499999999999,31.094999999999906,23.49499999999999,31.094999999999906,120,0,23.424657534246574,physical_stock,none,625.0,1430.0,12.0,0.0,1267.0,87.0,25.580399999999972,1391.5804,2016.5804,1589.0363385172827
2038,250.0,170.0,262.0,3.144,0.012,250.00000000000003,170.0,0.0,0.0,1.0000000000000002,1.0,31.094999999999906,39.95099999999991,31.094999999999906,39.95099999999991,120,0,30.82191780821918,physical_stock,reserve,0.0,1430.0,12.0,70.0,1464.8,90.8,33.34223999999994,1670.9422399999999,1670.9422399999999,1196.9804016756043
2039,320.0,210.0,333.0,3.996000000000001,0.012,320.0,210.0,0.0,0.0,1.0,1.0,39.95099999999991,48.95499999999987,39.95099999999991,48.95499999999987,120,0,39.45205479452055,physical_stock,reserve,0.0,1430.0,12.0,70.0,1742.7,92.45,41.87627999999992,1959.02628,1959.02628,1275.772330666594
2040,390.0,250.00000000000003,395.0,4.739999999999999,0.012,390.0,250.00000000000003,0.0,0.0,1.0,1.0,48.95499999999987,49.21499999999996,48.95499999999987,49.21499999999996,120,0,48.082191780821915,physical_stock,reserve,0.0,1430.0,12.0,70.0,2294.5,101.75,47.04899999999994,2525.299,2525.299,1495.0407778649644
