year,demand_total_t,demand_critical_t,inflow_gross_t,losses_t,loss_rate,served_t,served_critical_t,deficit_t,deficit_critical_t,service_total,service_critical,stock_start_t,stock_end_t,stock_min_t,stock_max_t,storage_capacity_t,overflow_events,reserve_required_t,reserve_cover,emergency_role,capex_mln,capex_cumulative_mln,opex_extra_zbo_mln,opex_extra_isru_mln,variable_cost_mln,reserve_fees_mln,storage_cost_mln,expenses_operating_mln,expenses_total_mln,expenses_npv_mln
2035,100.0,80.0,110.0,4.949999999999999,0.045,99.99999999999999,80.0,0.0,0.0,0.9999999999999999,1.0,12.33,17.37999999999996,12.33,17.37999999999996,70,0,12.32876712328767,physical_stock,none,0.0,0.0,0.0,0.0,709.0,46.5,13.847099999999987,769.3471,769.3471,733.5436779945875
2036,140.0,105.0,153.0,6.885000000000002,0.045,140.0,105.0,0.0,0.0,1.0,1.0,17.37999999999996,23.49499999999999,17.37999999999996,23.49499999999999,70,0,17.26027397260274,physical_stock,none,805.0,805.0,0.0,0.0,983.7,64.95,19.09844999999998,1067.74845,1872.74845,1623.268714675154
2037,190.0,135.0,200.0,2.4,0.012,190.00000000000003,135.0,0.0,0.0,1.0000000000000002,1.0,23.49499999999999,31.094999999999906,23.49499999999999,31.094999999999906,120,0,23.424657534246574,physical_stock,none,625.0,1430.0,12.0,0.0,1267.0,87.0,25.580399999999972,1391.5804,2016.5804,1589.0363385172827
2038,287.5,195.49999999999997,235.0,2.819999999999999,0.012,263.2749999999999,195.49999999999997,24.225000000000083,0.0,0.9157391304347823,1.0,31.094999999999906,0.0,0.0,31.094999999999906,120,0,35.445205479452056,emergency_contract,reserve,0.0,1430.0,12.0,70.0,1786.0,90.8,12.691885408695617,1971.4918854086957,1971.4918854086957,1412.2793070912464
2039,368.0,241.49999999999997,303.0,3.6359999999999997,0.012,299.364,241.49999999999997,68.63600000000002,0.0,0.8134891304347825,1.0,0.0,0.0,0.0,0.0,120,0,45.36986301369863,insufficient,reserve,0.0,1430.0,12.0,70.0,2088.375,92.45,7.3058808013043475,2270.130880801304,2270.130880801304,1478.372288460616
2040,448.49999999999994,287.5,395.0,4.739999999999999,0.012,390.2599999999998,287.5,58.23999999999998,0.0,0.8701449275362316,1.0,0.0,0.0,0.0,0.0,120,0,55.2945205479452,insufficient,reserve,0.0,1430.0,12.0,70.0,2294.5,101.75,10.187482782608695,2488.4374827826086,2488.4374827826086,1473.2178288304258
